92,0,2,,550,680,,16,3.9,1,4,4,4,4,3,4,8,6,7,4
93,0,5,0,610,520,,15,3.62,4,2,,,,,,11,,,
96,0,5,,,,,,1.94,,0,,,,,,11,,,
97,0,5,,520,490,3.34,15,3.11,4,1,,,,,,6,,,
98,1,5,0,570,610,,,3.09,,3.33,,,,,,10,,,
99,1,2,,460,760,,18,3.13,1,4,4,3.67,2.33,2.67,1.67,6,6,7,4
100,1,5,,800,550,,24,3.28,4,2.33,0,0,,,,14,1,4,
101,0,5,0,650,600,,15,3.89,3,3,,,,,,11,,,
102,1,5,0,670,580,,,2.14,,3.33,2,0,,,,11,4,4,
103,0,5,1,,,,10,2.1,4,0,,,,,,8,,,
104,0,5,,550,610,,,2.81,,1.33,,,,,,8,,,
105,1,5,0,680,670,,18,3.57,3,3.67,,,,,,6,,,
106,0,4,1,610,670,4.65,19,3.67,4,3,,,,,,11,,,
107,1,5,,,,,,1.85,,0,,,,,,8,,,
108,1,5,,,,,,2.47,,0,,,,,,10,,,
109,1,5,,630,650,3.39,,0.94,,0,0,,,,,10,4,,
110,0,5,,,,,28,2.94,4,0,,,,,,8,,,
111,0,5,,510,470,,19,2.81,4,0,,,,,,11,,,
112,1,5,1,580,560,,19,2.3,3,0,,,,,,11,,,
113,1,5,0,500,660,3.77,15,3.6,1,4,4,3.67,1.67,4,3.67,11,4,4,1
114,1,5,,420,490,3.17,18,3.44,4,2.33,,,,,,11,,,
115,0,5,1,660,410,,19,3,4,0,,,,,,11,,,
116,1,5,,600,570,3.22,18,2.73,4,3,3.67,0,,,,8,4,4,
117,1,5,0,,,,49,3.74,4,0,,,,,,14,,,
118,0,5,1,490,460,,18,3,4,0,,,,,,10,,,
119,0,5,1,500,550,3.5,15,2.97,4,0,,,,,,10,,,
120,0,4,1,490,450,3.2,19,2.89,4,0,,,,,,11,,,
121,0,5,1,710,680,,15,3.29,2,1.67,2.33,,,,,8,6,,
122,1,5,,470,560,3.27,15,2.99,4,0,,,,,,10,,,
125,1,5,0,560,530,3.33,19,2.48,4,0,,,,,,6,,,
126,1,5,0,510,520,,15,2.88,4,1.33,,,,,,11,,,
127,1,5,,,,,,2.21,,2,,,,,,11,,,
128,0,5,1,530,570,,16,3.08,4,1,,,,,,14,,,
129,0,5,,650,720,,15,3.93,2,4,3.67,,,,,11,4,,
130,1,5,0,530,550,,47,2.18,4,1,,,,,,6,,,
131,0,5,1,560,540,3.39,15,3.13,4,1,,,,,,11,,,
132,1,5,0,570,590,,15,3.15,4,0,,,,,,14,,,
133,1,5,,,,,15,2.46,3,2,,,,,,8,,,
135,0,5,1,490,540,,20,2.46,4,0,,,,,,6,,,
136,0,5,0,600,570,3.56,15,3.43,4,0,,,,,,8,,,
137,1,5,,490,640,,15,3.71,4,4,,,,,,11,,,
138,1,5,0,500,570,,19,2.88,4,1,,,,,,10,,,
139,1,4,1,450,590,4.28,23,3.34,4,2.33,0,,,,,11,6,,
140,1,5,0,600,550,,15,2.9,4,2,0,,,,,6,6,,
141,0,4,,570,650,,15,3.59,4,4,,,,,,8,,,
142,1,5,0,500,510,3.47,16,2.58,4,0,,,,,,10,,,
145,0,5,,,,,10,3.83,1,4,4,4,4,3.67,4,11,4,4,1
146,0,2,,,,,15,3.28,4,0,,,,,,14,,,
147,1,1,0,460,570,,,1.62,,0,,,,,,8,,,
148,0,5,1,560,600,,,2.6,,1,,,,,,11,,,
149,1,5,0,560,510,,15,3.08,3,2,,,,,,11,,,
150,1,5,0,550,550,3.04,18,2.83,4,2.67,0,,,,,8,6,,
151,0,5,1,580,560,,,2.72,,0,,,,,,11,,,
152,1,3,,420,390,,15,3.04,1,4,2.67,2,3,2.67,2.33,11,6,4,1
154,0,5,0,610,710,,15,2.56,3,2,,,,,,11,,,
155,0,4,0,540,530,3.13,15,2.84,4,0,,,,,,8,,,
156,0,5,1,570,490,3.93,15,3.31,4,0,,,,,,8,,,
157,0,5,,630,650,3.7,26,3.35,4,4,,,,,,8,,,
158,0,2,,,,,16,2.64,4,2,,,,,,11,,,
159,0,5,0,420,540,3.27,,1.59,,0,,,,,,8,,,
161,1,5,1,670,630,2.87,26,2.3,4,0,,,,,,10,,,
162,1,5,0,550,590,3.89,19,3.26,4,3,2,1.67,0,,,11,4,4,1
163,0,5,1,660,730,,15,3.53,2,4,3.33,3.67,,0,,8,4,4,
164,0,5,,570,610,,19,2.93,2,3,2.33,,,,,11,1,,
165,1,5,0,,,,11,3.32,4,2.67,,,,,,6,,,
166,1,5,1,540,520,,15,3.56,4,2,,,,,,10,,,
167,1,5,0,520,570,,15,2.65,4,3.67,2.67,2.67,1.67,,,6,4,4,4
168,0,5,,,,,13,2.95,4,1.33,,,,,,8,,,
169,1,5,,560,550,,,3.19,,4,4,0,,,,14,4,4,
170,1,5,0,520,640,,,1.91,,2,,,,,,10,,,
171,1,5,0,,,,,1.88,,1,2,,,,,8,4,,
172,1,3,,370,410,,20,2.17,4,0,,,,,,8,,,
173,0,5,1,620,670,,15,3.55,2,3,3,,,,,11,4,,
174,0,2,1,400,550,,15,3.21,4,1.33,,,,,,11,,,
175,1,5,,510,720,,16,3.1,3,2.33,,,,,,11,,,
176,0,5,,480,610,,17,3.47,4,2.67,,,,,,11,,,
177,1,5,0,540,570,,15,2.62,4,2.33,,,,,,6,,,
178,1,5,,590,510,,14,2.89,3,2,,,,,,11,,,
179,0,5,,410,550,,,2.09,,0,,,,,,11,,,
180,1,5,1,600,580,,14,2.95,4,1,,,,,,8,,,
181,1,5,1,580,680,,21,3.13,4,0,,,,,,6,,,
182,1,5,,640,600,,11,2.4,3,3,,,,,,11,,,
183,1,5,1,480,440,2.63,40,2.66,4,0,,,,,,8,,,
184,1,5,0,580,610,,16,3.06,4,1,,,,,,11,,,
185,1,5,0,600,490,,15,3.09,4,0,,,,,,11,,,
187,1,4,,,,,12,2.72,4,0,,,,,,8,,,
